author,Total,LICENSE.rst,CODE_OF_CONDUCT.md,artwork/logo-lineart.svg,artwork/LICENSE.rst,docs/Makefile,docs/appcontext.rst,artwork/logo-full.svg,MANIFEST.in,docs/async-await.rst,docs/contributing.rst,README.rst,docs/deploying/apache-httpd.rst,docs/deploying/asgi.rst,CONTRIBUTING.rst,docs/deploying/eventlet.rst,docs/debugging.rst,docs/deploying/gevent.rst,docs/deploying/gunicorn.rst,docs/deploying/nginx.rst,docs/cli.rst,docs/deploying/proxy_fix.rst,docs/deploying/index.rst,docs/changes.rst,docs/deploying/waitress.rst,docs/deploying/uwsgi.rst,docs/design.rst,docs/conf.py,docs/deploying/mod_wsgi.rst,docs/license.rst,docs/blueprints.rst,docs/lifecycle.rst,docs/extensions.rst,docs/logging.rst,docs/make.bat,docs/patterns/appdispatch.rst,docs/patterns/caching.rst,docs/index.rst,docs/errorhandling.rst,docs/patterns/deferredcallbacks.rst,docs/patterns/appfactories.rst,docs/patterns/favicon.rst,docs/patterns/celery.rst,docs/patterns/javascript.rst,docs/patterns/methodoverrides.rst,docs/api.rst,docs/config.rst,docs/extensiondev.rst,docs/patterns/lazyloading.rst,docs/patterns/flashing.rst,docs/patterns/mongoengine.rst,docs/patterns/singlepageapplications.rst,docs/patterns/requestchecksum.rst,docs/installation.rst,docs/patterns/subclassing.rst,docs/patterns/index.rst,docs/patterns/fileuploads.rst,docs/patterns/templateinheritance.rst,docs/patterns/streaming.rst,docs/patterns/urlprocessors.rst,docs/patterns/sqlite3.rst,docs/patterns/jquery.rst,docs/patterns/sqlalchemy.rst,docs/patterns/viewdecorators.rst,docs/patterns/packages.rst,docs/shell.rst,docs/server.rst,docs/patterns/wtforms.rst,docs/tutorial/deploy.rst,docs/reqcontext.rst,docs/security.rst,docs/templating.rst,docs/tutorial/blog.rst,docs/signals.rst,docs/tutorial/database.rst,docs/tutorial/next.rst,docs/tutorial/layout.rst,docs/tutorial/factory.rst,docs/tutorial/index.rst,docs/tutorial/static.rst,docs/tutorial/install.rst,examples/celery/make_celery.py,examples/celery/README.md,examples/celery/pyproject.toml,examples/celery/src/task_app/__init__.py,examples/celery/src/task_app/tasks.py,examples/celery/requirements.txt,docs/tutorial/templates.rst,docs/tutorial/tests.rst,examples/celery/src/task_app/views.py,examples/celery/src/task_app/templates/index.html,examples/javascript/.gitignore,examples/javascript/MANIFEST.in,examples/javascript/LICENSE.rst,examples/javascript/js_example/__init__.py,docs/views.rst,examples/javascript/README.rst,docs/tutorial/views.rst,examples/javascript/js_example/templates/jquery.html,examples/javascript/js_example/templates/base.html,examples/javascript/js_example/templates/fetch.html,examples/javascript/pyproject.toml,examples/javascript/js_example/templates/xhr.html,examples/javascript/tests/conftest.py,examples/tutorial/.gitignore,examples/javascript/js_example/views.py,examples/javascript/tests/test_js_example.py,examples/tutorial/LICENSE.rst,examples/tutorial/MANIFEST.in,examples/tutorial/flaskr/__init__.py,examples/tutorial/flaskr/schema.sql,examples/tutorial/flaskr/blog.py,examples/tutorial/flaskr/db.py,examples/tutorial/flaskr/templates/auth/login.html,examples/tutorial/flaskr/templates/auth/register.html,examples/tutorial/flaskr/auth.py,examples/tutorial/README.rst,examples/tutorial/flaskr/templates/base.html,examples/tutorial/flaskr/templates/blog/create.html,examples/tutorial/flaskr/templates/blog/index.html,examples/tutorial/flaskr/static/style.css,examples/tutorial/flaskr/templates/blog/update.html,examples/tutorial/tests/data.sql,examples/tutorial/pyproject.toml,examples/tutorial/tests/conftest.py,examples/tutorial/tests/test_auth.py,examples/tutorial/tests/test_factory.py,requirements/build.in,examples/tutorial/tests/test_blog.py,requirements/dev.in,requirements/build.txt,pyproject.toml,docs/testing.rst,examples/tutorial/tests/test_db.py,requirements/tests-pallets-min.in,requirements/tests-pallets-min.txt,requirements/docs.in,requirements/typing.in,requirements/tests.in,src/flask/__main__.py,requirements/typing.txt,requirements/docs.txt,requirements/tests.txt,src/flask/config.py,src/flask/debughelpers.py,src/flask/globals.py,docs/quickstart.rst,src/flask/json/provider.py,src/flask/json/tag.py,src/flask/logging.py,src/flask/blueprints.py,src/flask/ctx.py,requirements/dev.txt,src/flask/signals.py,src/flask/typing.py,src/flask/scaffold.py,src/flask/templating.py,tests/static/config.toml,tests/static/config.json,tests/conftest.py,tests/static/index.html,tests/templates/_macro.html,src/flask/sessions.py,src/flask/cli.py,tests/templates/context_template.html,src/flask/testing.py,src/flask/views.py,tests/templates/mail.txt,tests/templates/escaping_template.html,tests/templates/nested/nested.txt,tests/templates/simple_template.html,tests/templates/non_escaping_template.txt,tests/templates/template_filter.html,tests/templates/template_test.html,tests/test_apps/.flaskenv,tests/test_apps/.env,tests/test_apps/blueprintapp/apps/admin/static/css/test.css,tests/test_apps/blueprintapp/apps/admin/static/test.txt,tests/test_apps/blueprintapp/apps/admin/__init__.py,tests/test_apps/blueprintapp/__init__.py,tests/test_apps/blueprintapp/apps/admin/templates/admin/index.html,tests/test_apps/blueprintapp/apps/frontend/__init__.py,tests/test_apps/cliapp/inner1/__init__.py,tests/test_apps/cliapp/app.py,tests/test_apps/blueprintapp/apps/frontend/templates/frontend/index.html,tests/test_apps/cliapp/importerrorapp.py,tests/test_apps/cliapp/factory.py,tests/test_apps/cliapp/inner1/inner2/flask.py,tests/test_apps/cliapp/message.txt,tests/test_apps/helloworld/hello.py,tests/test_apps/helloworld/wsgi.py,tests/test_apps/cliapp/multiapp.py,tests/test_appctx.py,tests/test_apps/subdomaintestmodule/__init__.py,tests/test_apps/subdomaintestmodule/static/hello.txt,tests/test_async.py,tests/test_converters.py,src/flask/wrappers.py,tests/test_instance_config.py,tests/test_json_tag.py,tests/test_logging.py,tests/test_json.py,tests/test_session_interface.py,tests/test_regression.py,tests/test_config.py,tests/test_subclassing.py,tests/test_reqctx.py,tests/test_signals.py,tests/test_cli.py,tests/typing/typing_app_decorators.py,tests/test_blueprints.py,tests/typing/typing_error_handler.py,tests/test_user_error_handler.py,tests/typing/typing_route.py,src/flask/helpers.py,tests/test_views.py,tests/test_templating.py,tests/test_testing.py,CHANGES.rst,tox.ini,tests/test_helpers.py,tests/test_basic.py,src/flask/app.py
David Lord,15979,28,0,0,18,13,102,0,7,85,1,68,66,0,174,80,86,80,130,69,343,33,70,4,73,125,48,82,63,10,19,168,26,171,17,12,0,76,140,24,9,0,213,256,5,95,304,279,2,3,45,0,1,85,0,10,19,0,2,0,0,3,13,20,24,1,84,9,102,183,131,4,334,2,208,38,107,161,55,71,101,4,27,11,39,23,56,169,551,38,108,14,4,28,5,257,43,256,27,32,33,26,29,14,14,15,15,28,5,42,20,89,45,15,15,76,54,24,15,28,134,19,8,28,56,45,9,1,60,6,15,94,238,25,5,19,7,4,5,2,20,30,21,89,52,76,280,216,248,43,185,158,49,3,22,546,35,0,1,65,0,0,147,650,0,147,120,0,0,0,0,0,0,0,3,3,0,0,2,2,0,2,3,0,0,0,2,3,1,0,0,0,17,0,0,2,17,87,2,50,82,349,16,7,73,3,38,12,269,2,37,33,101,39,278,18,21,121,1157,33,71,378,878
Lindsay Young,76,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Armin Ronacher,6360,0,0,165,0,7,40,290,1,0,0,0,0,0,0,0,0,0,0,0,49,0,3,0,0,0,154,12,23,9,157,0,14,0,18,130,12,10,33,16,58,0,24,0,37,439,236,18,92,107,0,0,54,25,0,26,115,57,40,122,99,3,183,122,74,94,17,89,0,54,66,160,0,157,0,0,0,0,6,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,62,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,1,0,0,0,11,78,6,425,0,0,17,145,179,0,21,0,0,88,0,0,0,1,1,160,175,1,49,45,1,6,1,1,0,0,3,0,0,1,1,7,5,1,7,0,0,1,0,0,0,0,0,0,0,22,3,1,0,0,24,0,0,0,0,0,3,11,3,13,2,5,0,29,0,0,0,136,3,2,22,101,0,42,116,520
Makonede,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A Brooks,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jamiu Salimon,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ryan Backman,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saul  Urias,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seth Rutner,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zev Averbach,12,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
